die Abteilung, -en	department / відділ
die Verstärkung, -en	reinforcement, addition to the team / підкріплення, новий співробітник
die Zukunftsperspektive, -n	future prospect / перспектива на майнє
die Zusammenarbeit (Sg.)	cooperation / співпраця
zuständig	responsible / відповідальний
das Bauvorhaben, -	construction project / будівельний проект
die Berufsausbildung, -en	vocational training / професійна освіта
der Einsatz, "-e	assignment, mission / виконання завдання
das Einverständnis, -se	consent, agreement / згода
der Fachinformatiker, - / die Fachinformatikerin, -nen	IT specialist / фахівець/-чиня з інформатики
die Krankheitsvertretung, -en	sick leave cover / заміна на час хвороби
der Realschulabschluss, "-e	secondary school certificate / атестат про закінчення реальної школи
die Urlaubsvertretung, -en	holiday replacement / заміна на час відпустки
der Zeitraum, "-e	period of time / період часу
der Empfang, "-e	reception / прийом, рецепція
die Personalabteilung, -en	HR department / відділ кадрів
die Kantine, -n	canteen / їдальня
das Lager, -	warehouse / склад
die Produktion (Sg.)	production / виробництво
die Forschung, -en	research / дослідження
die Entwicklung, -en	development / розробка
der Betriebsrat, "-e / die Betriebsrätin, -nen	works council (member) / виробнича рада / членкиня ради
die Geschäftsführung, -en	management / керівництво
die Finanzbuchhaltung, -en	financial accounting / бухгалтерія
die Einarbeitung, -en	induction, orientation / введення в курс справи (стажування)
der Ansprechpartner, - / die Ansprechpartnerin, -nen	contact person / контактна особа
die Pausenregelung, -en	break policy / правило перерв
der Rundgang, "-e	tour (of a building) / обхід, екскурсія
sich weiter|bilden (bildet sich weiter, bildete sich weiter, hat sich weitergebildet)	to continue education / підвищувати кваліфікацію
sich ärgern über (+ Akk.) (ärgert sich, ärgerte sich, hat sich geärgert)	to be annoyed about / сердитися через
der Berufsalltag (Sg.)	professional life / професійні будні
die Erfahrung, -en	experience / досвід
Erfahrung haben mit (+ Dat.)	to have experience with / мати досвід у
sich freuen auf (+ Akk.) (freut sich, freute sich, hat sich gefreut)	to look forward to / чекати з нетерпінням (на щось у майбутньому)
sich freuen über (+ Akk.)	to be happy about / радіти (чомусь, що вже є)
gehören zu (+ Dat.) (gehört, gehörte, hat gehört)	to belong to / належати до
es geht um (+ Akk.)	it's about / йдеться про
ein Gespräch führen (führt, führte, hat geführt)	to lead a conversation / вести розмову
sich interessieren für (+ Akk.) (interessiert sich, interessierte sich, hat sich interessiert)	to be interested in / цікавитися
investieren in (+ Akk.) (investiert, investierte, hat investiert)	to invest in / інвестувати в
statt|finden (fand statt, hat stattgefunden)	to take place / відбуватися
etw. vermitteln (vermittelt, vermittelte, hat vermittelt)	to convey, to mediate / передавати (знання), посередничати
die Voraussetzung, -en	requirement / умова, передумова
die Webseite, -n	website / веб-сторінка
das Ergebnisprotokoll, -e	minutes of a meeting / протокол результатів зустрічі
die Besprechung, -en	meeting / нарада
die Teamsitzung, -en	team meeting / командна нарада
etw. zusammen|fassen (fasst zusammen, fasste zusammen, hat zusammengefasst)	to summarize / підсумовувати
der Beschluss, "-e	decision / рішення, постанова
die Entscheidung, -en	decision / рішення
die Vereinbarung, -en	agreement / угода, домовленість
die Tagesordnung, -en	agenda / порядок денний
das Stichwort, -e	keyword / ключове слово
etw. dokumentieren (dokumentiert, dokumentierte, hat dokumentiert)	to document / документувати
etw. protokollieren (protokolliert, protokollierte, hat protokolliert)	to record / протоколювати
die Regel, -n	rule / правило
in der Regel	as a rule / як правило
der Teilnehmer, - / die Teilnehmerin, -nen	participant / учасник/-ця
etw. vor|schlagen (schlägt vor, schlug vor, hat vorgeschlagen)	to suggest / пропонувати
der Zweifel, -	doubt / сумнів
etw. schaffen (schafft, schaffte, hat geschafft)	to manage / впоратися
sich etw. merken (merkt sich, merkte sich, hat sich gemerkt)	to remember / запам'ятовувати
die Pünktlichkeit (Sg.)	punctuality / пунктуальність
die Begrüßung, -en	greeting / привітання
der Feierabend, -e	closing time, finish work / кінець робочого дня
aufregend	exciting / захоплюючий
der Erfolg, -e	success / успіх
nützlich	useful / корисний
der Berufsverkehr (Sg.)	professional traffic / робочий дорожній рух (години пік)
üblich	common / звичайний
lächeln (lächeлт, lächelte, hat gelächelt)	to smile / усміхатися
erwünscht	desired / бажаний
beliebt	popular / популярний
im Allgemeinen	in general / взагалі
der/die Vorgesetzte, -n	supervisor / керівник/-ця
sich verabschieden (von + Dat.) (verabschiedet sich, verabschiedete sich, hat sich verabschiedet)	to say goodbye / прощатися
sich etw. an|schauen (schaut an, schaute an, hat angeschaut)	to look at something / подивитися на щось
der Arbeitsalltag (Sg.)	everyday work life / робочі будні
die Arbeitsdichte (Sg.)	work density / щільність роботи (навантаження)
das Arbeitsleben (Sg.)	professional life / трудове життя
die Arbeitswelt (Sg.)	working world / світ праці
sich aus|wirken (auf + Akk.) (wirkt aus, wirkte aus, hat ausgewirkt)	to affect, to impact / впливати
die Baustelle, -n	construction site / будівельний майданчик
sich beeilen (beeilt sich, beeilte sich, hat sich beeilt)	to hurry / поспішати
die Berufssparte, -n	professional sector / професійна галузь
der/die Beschäftigte, -n	employee / співробітник/-ця
die Beschleunigung, -en	acceleration / прискорення
etw. bewältigen (bewältigt, bewältigte, hat bewältigt)	to manage, to cope with / долати, справлятися
die Herausforderung, -en	challenge / виклик
der Maurer, - / die Maurerin, -nen	mason / муляр/-ка
die Strecke, -n	distance, route / дистанція, шлях
auf der Strecke bleiben	to fall by the wayside / відстати, бути занедбаним
einen Termin ab|sagen	to cancel an appointment / скасувати зустріч
das Treffen, -	meeting / зустріч
sich verspäten (verspätet sich, verspätete sich, hat sich verspätet)	to be late / запізнюватися
das Wohlbefinden (Sg.)	well-being / самопочуття
der Zeitdruck (Sg.)	time pressure / дефіцит часу
die Abteilungskonferenz, -en	department conference / конференція відділу
sich ab|sprechen (mit + Dat.) (spricht sich ab, sprach sich ab, hat sich abgesprochen)	to coordinate (with someone) / домовлятися
der Anspruch, "-e	claim, demand / претензія, вимога
Anspruch haben auf (+ Akk.)	to have a right to / мати право на
der Arbeitsweg, -e	commute / шлях на роботу
die Arbeitszeit, -en	working time / робочий час
das Arbeitszeitgesetz, -e	working time act / закон про робочий час
die Betriebsruhe (Sg.)	company holidays / канікули auf підприємстві
das EDV-System, -e	IT system / ІТ-система
jdn. ein|weisen in (+ Akk.) (weist ein, wies ein, hat eingewiesen)	to instruct, to brief / інструктувати
der Ersatzruhetag, -e	compensatory rest day / компенсаційний вихідний
etw. vor|schreiben (schreibt vor, schrieb vor, hat vorgeschrieben)	to prescribe, to mandate / приписувати, зобов'язувати
der Fall, "-e	case / випадок
auf keinen Fall	in no case / ні в якому разі
der Freizeitausgleich (Sg.)	compensatory time off / компенсація вільного часу
der Mindesturlaub (Sg.)	minimum leave / мінімальна відпустка
die Pflicht, -en	duty / обов'язок
das Recht, -e	right, law / право
Recht haben	to be right / мати рацію
die (gesetzliche) Regel, -n	legal rule / законне правило
die Schichtarbeit (Sg.)	shift work / позмінна робота
die Teilzeitarbeit (Sg.)	part-time work / неповна зайнятість
die Überstunde, -n	overtime / понаднормова година
der Urlaubstag, -e	vacation day / день відпустки
die Urlaubszeit, -en	vacation time / час відпустки
die Vollzeitarbeit (Sg.)	full-time work / повна зайнятість
die Wochenendarbeit, -en	weekend work / робота у вихідні
die Deadline, -s	deadline / дедлайн
das Drehbuch, "-er	script / сценарій
der Entwurf, "-e	draft / чернетка, проект
die Kampagne, -n	campaign / кампанія
die Kosmetikserie, -n	cosmetics line / серія косметики
das Printmedium, -medien	print medium / друковане видання
relevant	relevant / важливий, релевантний
der Senior Manager, - / die Senior Managerin, -nen	senior manager / старший менеджер/-ка
der Werbefilm, -e	commercial / рекламний ролик
die Werbekampagne, -n	advertising campaign / рекламна кампанія
die Abmahnung, -en	written warning / попередження (догана)
das Arbeitsgericht, -e	labor court / трудовий суд
der Betriebsrat, "-e	works council / виробнича рада (профспілка)
die Betriebsfeier, -n	company party / корпоратив
dokumentieren (dokumentiert, dokumentierte, hat dokumentiert)	to document / документувати
der Heizungstechniker, - / die Heizungstechnikerin, -nen	heating technician / майстер/-иня з опалення
die Hilfe, -n	help / допомога
um Hilfe bitten	to ask for help / просити про допомогу
das Zuspätkommen (Sg.)	being late / запізнення
das Verständnis (Sg.)	understanding / розуміння
verärgert sein über (+ Akk.)	to be annoyed about / бути роздратованим через
abhängig sein von (+ Dat.)	to be dependent on / бути залежним від
die Beratung, -en	advice, consulting / консультація
Geld ausgeben für (+ Akk.) (gibt aus, gab aus, hat ausgegeben)	to spend money on / витрачати гроші на
die Lieferzeit, -en	delivery time / час доставки
die Öffnungszeit, -en	opening time / години роботи
der Online-Einkauf, "-e	online shopping / онлайн-покупки
die Qualität, -en	quality / якість
vorsichtig	careful / обережний
die Ware, -n	goods, merchandise / товар
der Absatz, "-e	sales, turnover / збут, продажі
die (technische) Anlage, -n	technical system / equipment / технічна установка
eine Anlage warten (wartet, wartete, hat gewartet)	to maintain a system / обслуговувати установку
jdn./etw. beobachten (beobachtet, beobachtete, hat beobachtet)	to observe / спостерігати
der Einzelhandel (Sg.)	retail / роздрібна торгівля
der Endkunde, -n / die Endkundin, -nen	end customer / кінцевий споживач/-ка
etw. entwickeln (entwickelt, entwickelte, hat entwickelt)	to develop / розробляти
die Forschung und Entwicklung (Sg.)	research and development (R&D) / дослідження та розробка
der Großhandel (Sg.)	wholesale / гуртова торгівля
der Handel (Sg.)	trade, commerce / торгівля
her|stellen (stellt her, stellte her, hat hergestellt)	to produce, to manufacture / виробляти
die Herstellung (Sg.)	manufacturing / виробництво
etw. liefern (liefert, lieferte, hat geliefert)	to deliver / доставляти
der Lieferschein, -e	delivery note / накладна
Lieferscheine aus|stellen (stellt aus, stellte aus, hat ausgestellt)	to issue delivery notes / виписувати накладні
die Lieferung, -en	delivery / доставка
der Markt, "-e	market / ринок
das Maß, -e	measure, dimension / міра, розмір
die Menge, -n	quantity, amount / кількість
etw. montieren (montiert, montierte, hat montiert)	to assemble, to install / монтувати
die Produktion, -en	production / виробництво
die Rechnung, -en	invoice, bill / рахунок
die Spedition, -en	shipping company / експедиторська компанія
der Transport, -e	transport / транспорт
die Verpackung, -en	packaging / упаковка
der Versand (Sg.)	shipping, dispatch / відправка
der Vertrieb (Sg.)	sales, distribution / відділ збуту
der Zwischenhändler, -	middleman, reseller / посередник
etw. analysieren	to analyze / аналізувати
etw. bearbeiten (bearbeitet, bearbeitete, hat bearbeitet)	to process, to edit / обробляти
jdn./etw. befördern (befördert, beförderte, hat befördert)	to promote, to transport / підвищувати (на посаді), перевозити
jdn./etw. betreuen (betreut, betreute, hat betreut)	to support, to manage / обслуговувати, супроводжувати
die Branche, -n	industry, sector / галузь
etw. entwickeln	to develop / розробляти
die Gastronomie (Sg.)	gastronomy, catering / гастрономія
etw. gestalten (gestaltet, gestaltete, hat gestaltet)	to design, to shape / оформляти, організовувати
das Handwerk (Sg.)	craft, trade / ремесло
die IT-Branche (Sg.)	IT industry / ІТ-галузь
etw. konstruieren (konstruiert, konstruierte, hat konstruiert)	to construct, to design / конструювати
etw. kontrollieren (kontrolliert, kontrollierte, hat kontrolliert)	to control, to check / контролювати
Kunden bedienen (bedient, bediente, hat bedient)	to serve customers / обслуговувати клієнтів
der Kundenberater, - / die Kundenberaterin, -nen	customer advisor / консультант/-ка клієнтів
das Labor, -e	laboratory / лабораторія
der Lagerist, -en / die Lageristin, -nen	warehouse clerk / працівник/-ця складу
der Tierpfleger, - / die Tierpflegerin, -nen	animal keeper / доглядач/-ка за тваринами
Transport und Logistik (Sg.)	transport and logistics / транспорт і логістика
der Vertriebsweg, -e	distribution channel / канал збуту
Waren bestellen (bestellt, bestellte, hat bestellt)	to order goods / замовляти товари
Wissenschaft und Forschung (Sg.)	science and research / наука та дослідження
etw. zu|bereiten (bereitet zu, bereitete zu, hat zubereitet)	to prepare (food) / готувати (їжу)
etw. zu|stellen (stellt zu, stellte zu, hat zugestellt)	to deliver, to serve / доставляти
die Bequemlichkeit, -en	convenience / зручність
der CO2-Ausstoß (Sg.)	CO2 emission / викид CO2
der Händler, - / die Händlerin, -nen	dealer, vendor / торговець/-ка
die Lagerhalle, -n	warehouse / складська будівля
die Online-Plattform, -en	online platform / онлайн-платформа
der Sonderwunsch, "-e	special request / особливе побажання
etw. aktivieren (aktiviert, aktivierte, hat aktiviert)	to activate / активувати
der Anbieter, - / die Anbieterin, -nen	provider / провайдер/-ка
etw. auf|laden (lädt auf, lud auf, hat aufgeladen)	to top up, to charge / заряджати, поповнювати (рахунок)
sich beraten lassen (lässt sich beraten, ließ sich beraten, hat sich beraten lassen)	to get advice / отримати консультацію
sich beschweren (beschwert sich, beschwerte sich, hat sich beschwert)	to complain / скаржитися
die Bestellung, -en	order / замовлення
das Datenvolumen, -	data volume / обсяг даних
etw. ein|geben (gibt ein, gab ein, hat eingegeben)	to enter (data) / вводити (дані)
etw. ein|legen (legt ein, legte ein, hat eingelegt)	to insert / вставляти
einmalig	one-time / одноразовий
der Einsteiger, - / die Einsteigerin, -nen	beginner / початківець/-иця
etw. entgegen|nehmen (nimmt entgegen, nahm entgegen, hat entgegengenommen)	to receive, to accept / приймати
das Festnetz (Sg.)	landline / стаціонарна мережа
etw. frei|schalten (schaltet frei, schaltete frei, hat freigeschaltet)	to unlock, to activate / активувати, розблокувати
die Grundgebühr, -en	basic fee / абонентська плата
gültig	valid / дійсний
günstig	cheap, favorable / вигідний, недешевий
das Guthaben, -	credit / баланс (грошовий)
der Handwerker, - / die Handwerkerin, -nen	craftsman / майстер/-иня
inklusive	inclusive / включно
die Kontrolle, -n	control / контроль
der Lieferservice, -s	delivery service / служба доставки
das Netz, -e	network / мережа
optimal	optimal / оптимальний
profitieren von (+ Dat.) (profitiert, profitierte, hat profitiert)	to profit from / отримувати вигоду
etw. sperren (sperrt, sperrte, hat gesperrt)	to block, to lock / блокувати
der Tarif, -e	tariff / тариф
etw. verschicken (verschickt, verschickte, hat verschickt)	to send / відправляти
der Vertrag, "-e	contract / контракт, договір
die Vertragslaufzeit, -en	contract duration / термін дії договору
etw. zu|stellen (stellt zu, stellte zu, hat zugestellt)	to deliver / доставляти
das Angebot, -e	offer / пропозиція
der Auftrag, "-e	order, assignment / замовлення, доручення
der Ausdruck, -e	printout / роздруківка
sich binden an (+ Akk.) (bindet sich, band sich, hat sich gebunden)	to commit oneself to / зв'язувати себе зобов'язаннями
brutto	gross / брутто (без вирахування податків)
einverstanden	agreed / згодний
etw. empfehlen (empfiehlt, empfahl, hat empfohlen)	to recommend / рекомендувати
die Erledigung, -en	completion / виконання
etw. erteilen (z.B. einen Auftrag) (erteilt, erteilte, hat erteilt)	to grant, to give / надавати, видавати (доручення)
der Grund, "-e	reason / причина
die Mehrwertsteuer (Sg.)	value added tax (VAT) / ПДВ (податок на додану вартість)
netto	net / нетто (після податків)
sorgfältig	carefully / ретельно
die Summe, -n	sum, total / сума
die Unterschrift, -en	signature / підпис
zahlbar	payable / до оплати
zuverlässig	reliable / надійний
der Ärger (Sg.)	anger, trouble / неприємність, гнів
der Artikel, -	article / стаття, товар
beschädigt	damaged / пошкоджений
die Beschwerde, -n	complaint / скарга
defekt	defective / несправний
dreckig	dirty / брудний
der Fleck, -en	stain / пляма
der Mangel, -	defect, lack / недолік
peinlich	embarrassing / соромно
die Reklamation, -en	reclamation, claim / рекламація, претензія
unvollständig	incomplete / неповний
der Vorschlag, "-e	suggestion / пропозиція
etw. zerbrechen (zerbricht, zerbrach, hat zerbrochen)	to break / розбивати
etw. zerkratzen (zerkratzt, zerkratzte, hat zerkratzt)	to scratch / подряпати
etw. zerreißen (zerriss, hat zerrissen)	to tear / розривати
jdn. ausreden lassen	to let someone finish speaking / давати комусь договорити
die Bedeutung, -en	meaning / значення
die Erwartung, -en	expectation / очікування
etw. klären (klärt, klärte, hat geklärt)	to clarify / з'ясовувати
konkurrenzfähig	competitive / конкурентоспроможний
sich etw. leisten können (kann sich leisten, konnte sich leisten, hat sich leisten können)	to be able to afford / могти собі дозволити
einen Preisnachlass gewähren (gewährt, gewährte, hat gewährt)	to grant a discount / надавати знижку
treu bleiben (bleibt treu, blieb treu, ist treu geblieben)	to stay loyal / залишатися вірним
unzufrieden	dissatisfied / незадоволений
vereinbart	agreed / узгоджений
sich etw. vor|stellen (stellt sich vor, stellte sich vor, hat sich vorgestellt)	to imagine / уявляти
der Alltag (Sg.)	everyday life / будні, повсякденне життя
der Anschluss, "-e	connection / підключення
die Anwendungsmöglichkeit, -en	application possibility / можливість застосування
das Display, -s	display, screen / дисплей, екран
einsatzbereit	ready for use / готовий до роботи
das Festnetz (Sg.)	landline / стаціонарна мережа
das Gerät, -e	device / пристрій
herunter|laden (lädt herunter, lud herunter, hat heruntergeladen)	to download / завантажувати
etw. installieren (installiert, installierte, hat installiert)	to install / інсталювати
das Kommunikationsmittel, -	means of communication / засіб зв'язку
leistungsfähig	powerful, efficient / потужний, продуктивний
der Mobilfunk (Sg.)	mobile communications / мобільний зв'язок
multifunktional	multifunctional / багатофункціональний
das Navi, -s	sat nav, navigation system / навігатор
das Navigationsgerät, -e	navigation device / навігатор
problemlos	problem-free / без проблем
das Risiko, Risiken	risk / ризик
sinken (sinkt, sank, ist gesunken)	to sink, to decrease / падати, знижуватися
die Tastatur, -en	keyboard / клавіатура
verfügbar	available / доступний
etw. weiterentwickeln (entwickelt weiter, entwickelte weiter, hat weiterentwickelt)	to develop further / розвивати далі
die Zukunft (Sg.)	future / майбутнє
in Zukunft	in the future / у майбутньому
die Arbeit erleichtern (erleichtert, erleichterte, hat erleichtert)	to make work easier / полегшувати роботу
die Daten (Pl.)	data / дані
Daten missbrauchen (missbraucht, missbrauchte, hat missbraucht)	to misuse data / зловживати даними
nachteilig	disadvantageous / невигідний
papierlos	paperless / безпеперовий
die sozialen Netzwerke	social networks / соціальні мережі
speichern (speichert, speicherte, hat gespeichert)	to save / зберігати
verzichten auf (+ Akk.) (verzichtet, verzichtete, hat verzichtet)	to do without / відмовлятися від
die Anforderung, -en	requirement, demand / вимога
der Ausbildungsberuf, -e	recognized vocational profession / професія, що потребує спеціальної освіти
beeinflussen (beeinflusst, beeinflusste, hat beeinflusst)	to influence / впливати
die Berufsaussicht, -en	career prospect / перспектива працевлаштування
die Digitalisierung (Sg.)	digitization / цифровізація
die Eigenschaft, -en	property, characteristic / властивість, якість
der Erfolg, -e	success / успіх
Erfolg haben	to have success / мати успіх
fächerübergreifend	interdisciplinary / міждисциплінарний
die Gesprächs- und Verhandlungsführung (Sg.)	conversation and negotiation management / ведення переговорів
interkulturell	intercultural / міжкультурний
der IT-Systemkaufmann, -leute / die IT-Systemkauffrau, -en	IT systems management assistant / фахівець/-чиня з продажів ІТ-систем
die Soft Skills (Pl.)	soft skills / гнучкі навички
teamfähig	able to work in a team / здатний працювати в команді
die Teamfähigkeit (Sg.)	ability to work in a team / вміння працювати в команді
die Umfrage, -n	survey, poll / опитування
wahrscheinlich	probable, probably / ймовірно
Wert legen auf (+ Akk.) (legt, legte, hat gelegt)	to attach importance to / надавати значення
das Wissensmanagement (Sg.)	knowledge management / управління знаннями
zuverlässig	reliable / надійний
die Zuverlässigkeit (Pl. selten)	reliability / надійність
der Arbeitsablauf, "-e	workflow / робочий процес
die Automatisierung (Sg.)	automation / автоматизація
etw. ein|führen (führt ein, führte ein, hat eingeführt)	to introduce / запроваджувати
die Einführung, -en	introduction / запровадження
etw. fern|steuern (steuert fern, steuerte fern, hat ferngesteuert)	to remote control / керувати дистанційно
das Fließband, "-er	conveyor belt / конвеєр
die Informationstechnologie, -n	information technology (IT) / інформаційні технології
das Internet der Dinge (Sg.)	Internet of Things (IoT) / інтернет речей
der Sprachassistent, -en	voice assistant / голосовий помічник
die Vernetzung, -en	networking / мережування, поєднання
vielfältig	diverse, manifold / різноманітний
